host_since,host_is_superhost,latitude,longitude,accommodates,bedrooms,beds,review_scores_rating
2008-09-09,f,4.075.356,-7.398.559,1,,1,4.7
2009-02-03,f,4.068.535,-7.395.512,2,1,1,4.52
2009-02-03,f,4.066.265,-7.399.454,4,2,2,5.0
2009-03-03,f,4.076.457,-7.398.317,2,1,1,4.23
2009-02-05,f,408.038,-7.396.751,1,1,1,4.91
2009-02-10,t,4.080.316,-7.396.387,2,1,1,4.68
2009-03-10,f,4.066.801,-7.398.784,2,1,1,4.7
2009-05-06,t,4.070.935,-7.395.342,3,,1,4.56
2009-05-07,f,4.080.107,-7.394.255,1,1,1,
2009-05-12,t,4.078.778,-7.394.759,1,1,1,4.88
2009-05-15,f,4.071.248,-7.395.881,2,1,1,4.86
2009-05-17,t,40.691.083,-73.972.544,4,1,2,4.88
2009-06-12,t,4.071.778,-739.568,4,,2,4.86
2009-07-10,t,4.068.462,-7.393.839,5,1,4,4.76
2009-08-06,f,4.076.724,-7.398.664,2,,1,4.52
2009-08-16,f,4.081.317,-7.395.465,2,1,1,4.89
2009-09-03,f,4.068.294,-7.395.682,3,1,2,4.68
2009-03-10,f,4.066.692,-7.398.981,2,1,2,4.74
2009-10-12,f,4.063.702,-7.396.327,1,1,2,
2009-10-19,t,4.072.296,-7.398.383,2,1,1,4.4
2009-10-31,t,4.074.757,-7.394.571,4,1,2,4.91
2009-10-31,f,4.067.946,-7.395.417,2,1,1,4.49
2009-07-27,f,4.067.144,-7.376.501,3,1,2,4.14
2009-11-14,f,4.068.064,-7.394.039,2,1,1,4.67
2009-11-20,f,4.070.348,-7.393.621,2,2,2,4.76
2009-11-21,f,4.073.535,-7.395.584,2,1,2,4.82
2009-02-03,f,4.068.777,-7.394.976,2,1,1,4.55
2009-12-03,f,4.075.611,-7.399.523,1,1,1,4.62
2009-12-04,t,40.721.359,-73.993.668,3,1,2,4.6
2009-12-05,f,4.071.211,-7.396.397,1,1,1,4.85
2009-12-05,f,4.074.493,-7.399.521,4,2,2,5.0
2009-12-09,f,4.077.119,-7.395.241,6,2,4,4.68
2009-12-16,f,4.067.839,-7.396.642,8,4,4,4.93
2009-12-16,f,4.069.121,-7.396.804,1,1,1,4.6
2009-12-19,t,4.072.489,-739.781,2,1,1,4.77
2009-12-20,f,407.092,-7.396.641,2,1,1,4.76
2008-11-19,f,4.072.281,-7.398.501,1,1,1,4.68
2009-12-26,f,408.019,-7.393.762,8,4,6,4.83
2009-12-27,f,4.072.289,-7.398.028,2,1,1,4.8
2010-01-07,f,4.083.253,-7.394.108,2,1,1,4.89
2010-01-12,f,4.076.967,-7.394.831,2,2,1,4.41
2010-01-20,t,4.074.261,-7.400.353,3,1,1,4.95
2010-01-15,f,4.073.808,-7.398.001,2,1,1,5.0
2010-01-24,f,4.082.817,-7.395.133,2,2,2,4.71
2010-01-29,f,4.071.802,-7.395.724,2,1,1,4.49
2010-02-09,f,4.070.967,-7.395.922,2,1,1,04.05
2009-09-29,f,4.079.936,-7.396.155,2,1,1,4.69
2010-02-18,f,4.082.782,-739.473,1,1,1,5.0
2010-02-20,f,4.074.187,-7.400.223,2,1,1,4.97
2009-03-26,f,4.067.747,-7.400.146,2,1,1,4.69
2010-03-15,f,4.072.961,-7.400.308,4,3,3,4.45
2010-03-23,t,4.067.115,-7.398.026,5,4,6,4.82
2010-04-08,f,4.071.649,-7.394.865,4,1,2,4.62
2010-04-12,f,408.104,-7.394.309,2,1,1,4.75
2009-12-03,f,4.075.603,-7.399.294,1,1,1,4.5
2009-09-29,t,406.686,-7.398.723,2,1,1,4.93
2010-04-29,f,4.077.839,-7.397.778,4,2,3,4.6
2010-05-06,t,4.082.682,-7.394.948,6,1,4,4.77
2010-05-07,f,4.072.421,-7.398.509,3,,2,4.85
2010-05-13,f,4.077.827,-7.394.669,4,1,2,4.95
2009-09-03,f,4.068.288,-7.395.646,2,1,1,4.69
2010-05-18,t,4.068.292,-7.396.381,2,1,1,4.93
2010-05-16,f,4.072.314,-7.399.108,3,1,1,4.76
2010-05-02,t,407.672,-7.398.464,1,1,1,4.87
2010-05-31,f,4.073.405,-7.400.281,2,,1,4.71
2010-06-02,f,406.327,-7.393.184,2,3,1,4.33
2010-06-03,f,4.068.818,-7.396.383,2,1,1,4.49
2010-05-01,f,4.068.513,-7.396.648,3,1,2,4.84
2010-06-07,f,4.072.741,-7.398.405,1,1,1,5.0
2010-06-12,t,4.071.512,-7.395.899,2,1,1,4.96
2010-05-20,f,4.078.763,-7.396.862,2,1,1,5.0
2010-07-04,f,4.079.128,-7.394.125,2,1,1,4.72
2010-07-05,t,4.073.271,-7.400.367,2,1,2,4.91
2010-07-06,f,4.071.371,-7.396.203,2,1,1,4.41
2010-07-13,f,4.068.442,-7.398.068,13,5,5,4.7
2010-07-16,t,4.070.978,-7.395.165,2,1,1,4.8
2010-07-17,f,4.076.203,-7.398.869,2,1,1,4.86
2010-04-18,f,4.074.523,-7.392.318,1,1,1,4.91
2010-07-18,f,4.068.216,-7.394.594,4,1,1,4.71
2010-07-29,f,4.071.992,-7.399.167,4,2,2,4.77
2009-03-26,f,4.067.813,-7.400.062,2,1,1,4.62
2010-07-30,f,4.064.633,-7.408.156,2,1,1,4.8
2010-08-01,t,407.449,-7.398.499,2,1,1,5.0
2010-08-04,f,40.721,-7.400.971,6,1,5,4.85
2010-07-26,f,4.069.287,-7.397.108,2,1,1,4.69
2010-08-06,f,4.073.737,-7.400.437,2,1,1,4.75
2010-08-11,f,4.070.894,-7.395.234,2,,,4.64
2010-08-15,f,4.082.569,-7.393.842,4,2,2,4.78
2010-01-04,t,4.068.834,-7.397.578,2,1,1,4.9
2010-08-17,t,4.070.309,-7.389.963,16,5,10,4.42
2010-08-17,f,4.080.635,-7.392.201,1,1,1,
2011-07-25,f,408.063,-7.395.985,2,1,1,4.66
2010-08-23,f,4.068.022,-7.397.457,2,1,1,4.7
2009-09-03,f,406.829,-7.395.701,3,1,2,4.36
2009-03-10,f,4.066.913,-7.399.041,4,1,2,4.83
2010-09-16,f,4.077.449,-7.395.308,1,1,1,
2009-07-27,f,4.067.144,-7.376.501,2,1,1,4.42
2010-09-24,t,4.077.868,-7.390.652,4,2,2,4.97
2010-08-17,t,4.071.567,-7.387.842,4,1,1,4.34
2010-08-17,t,4.070.422,-7.389.778,7,2,3,4.0
2010-08-17,t,4.071.778,-7.387.714,12,4,8,4.71
2010-10-05,f,4.080.255,-7.395.803,2,1,1,
2010-08-23,f,4.067.908,-7.397.405,2,1,1,4.71
2009-07-27,f,4.067.144,-7.376.501,2,1,1,4.35
2010-10-10,t,4.079.934,-7.394.236,2,1,1,4.86
2010-05-25,f,4.071.311,-739.506,4,2,1,5.0
2010-07-16,t,4.071.065,-7.395.087,1,1,1,4.82
2010-10-18,f,4.068.701,-7.397.555,1,1,1,4.79
2010-10-07,f,4.081.201,-7.394.452,2,1,1,4.65
2010-10-26,t,40.772.472,-73.906.075,2,1,2,4.83
2010-10-30,t,4.076.505,-7.398.716,4,1,2,4.82
2010-10-31,t,4.074.166,-739.866,2,1,1,4.98
2010-11-01,t,4.080.747,-7.394.076,2,1,1,4.87
2010-11-03,t,408.238,-7.394.444,2,1,1,4.7
2010-11-03,f,4.065.912,-739.842,4,2,3,4.72
2010-11-10,f,4.071.946,-7.398.641,2,1,1,4.65
2010-08-17,t,4.070.271,-738.993,9,3,6,5.0
